id,year,month,day,births
87,1969,2,12,5228
88,1969,2,13,4850
89,1969,2,13,4756
90,1969,2,14,5092
91,1969,2,14,5262
92,1969,2,15,4598
93,1969,2,15,4712
94,1969,2,16,4118
95,1969,2,16,4416
96,1969,2,17,4768
97,1969,2,17,5054
98,1969,2,18,4962
99,1969,2,18,5214
100,1969,2,19,4788
101,1969,2,19,5028
102,1969,2,20,4920
103,1969,2,20,5062
104,1969,2,21,4940
105,1969,2,21,4976
106,1969,2,22,4484
107,1969,2,22,4668
108,1969,2,23,4298
109,1969,2,23,4406
110,1969,2,24,4798
111,1969,2,24,5168
112,1969,2,25,5196
113,1969,2,25,5370
114,1969,2,26,4838
115,1969,2,26,5210
116,1969,2,27,4588
117,1969,2,27,5030
118,1969,2,28,4792
119,1969,2,28,4964
120,1969,2,29,50
121,1969,2,29,16
122,1969,2,30,24
123,1969,2,30,28
124,1969,2,31,24
125,1969,2,31,20
126,1969,2,99,42
127,1969,2,99,48
128,1969,3,1,4402
129,1969,3,1,4784
130,1969,3,2,4204
131,1969,3,2,4376
132,1969,3,3,4874
133,1969,3,3,5194
134,1969,3,4,4994
135,1969,3,4,5270
136,1969,3,5,4958
137,1969,3,5,5088
138,1969,3,6,4640
139,1969,3,6,5064
140,1969,3,7,4658
141,1969,3,7,5290
142,1969,3,8,4462
143,1969,3,8,4872
144,1969,3,9,4146
145,1969,3,9,4248
146,1969,3,10,4816
147,1969,3,10,5076
148,1969,3,11,5096
149,1969,3,11,5092
150,1969,3,12,4800
151,1969,3,12,4976
152,1969,3,13,4710
153,1969,3,13,4930
154,1969,3,14,4936
155,1969,3,14,5098
156,1969,3,15,4300
157,1969,3,15,4538
158,1969,3,16,4110
159,1969,3,16,4226
160,1969,3,17,4788
161,1969,3,17,5340
162,1969,3,18,4910
163,1969,3,18,5226
164,1969,3,19,4968
165,1969,3,19,5096
166,1969,3,20,4738
167,1969,3,20,5074
168,1969,3,21,4832
169,1969,3,21,5070
170,1969,3,22,4446
171,1969,3,22,4516
172,1969,3,23,4240
173,1969,3,23,4362
174,1969,3,24,4730
175,1969,3,24,5072
176,1969,3,25,4976
177,1969,3,25,5296
178,1969,3,26,4822
179,1969,3,26,4996
180,1969,3,27,4628
181,1969,3,27,5070
182,1969,3,28,4968
183,1969,3,28,5358
184,1969,3,29,4292
185,1969,3,29,4616
186,1969,3,30,3986
187,1969,3,30,4200
188,1969,3,31,4590
189,1969,3,31,5002
190,1969,3,99,64
191,1969,3,99,50
192,1969,4,1,4990
193,1969,4,1,4970
194,1969,4,2,4766
195,1969,4,2,5212
196,1969,4,3,4682
197,1969,4,3,4848
198,1969,4,4,4718
199,1969,4,4,4854
200,1969,4,5,4384
201,1969,4,5,4364
202,1969,4,6,3896
203,1969,4,6,4112
204,1969,4,7,4418
205,1969,4,7,4956
206,1969,4,8,4930
207,1969,4,8,5246
208,1969,4,9,4748
209,1969,4,9,5104
210,1969,4,10,4730
211,1969,4,10,4978
212,1969,4,11,4848
213,1969,4,11,5072
214,1969,4,12,4318
215,1969,4,12,4622
216,1969,4,13,3886
217,1969,4,13,4248
218,1969,4,14,4726
219,1969,4,14,4840
220,1969,4,15,5064
221,1969,4,15,5364
222,1969,4,16,4804
223,1969,4,16,5036
224,1969,4,17,4832
225,1969,4,17,5044
226,1969,4,18,4832
227,1969,4,18,5040
228,1969,4,19,4292
229,1969,4,19,4702
230,1969,4,20,3760
231,1969,4,20,4168
232,1969,4,21,4828
233,1969,4,21,4782
234,1969,4,22,5016
235,1969,4,22,5210
236,1969,4,23,4660
237,1969,4,23,5208
238,1969,4,24,4620
239,1969,4,24,4852
240,1969,4,25,4610
241,1969,4,25,5036
242,1969,4,26,4338
243,1969,4,26,4584
244,1969,4,27,3846
245,1969,4,27,4120
246,1969,4,28,4622
247,1969,4,28,4896
248,1969,4,29,4622
249,1969,4,29,5078
250,1969,4,30,4396
251,1969,4,30,4742
252,1969,4,31,28
253,1969,4,31,24
254,1969,4,99,50
255,1969,4,99,66
256,1969,5,1,4598
257,1969,5,1,4608
258,1969,5,2,4708
259,1969,5,2,5028
260,1969,5,3,4148
261,1969,5,3,4620
262,1969,5,4,3922
263,1969,5,4,4172
264,1969,5,5,4854
265,1969,5,5,5076
266,1969,5,6,4906
267,1969,5,6,5058
268,1969,5,7,4724
269,1969,5,7,4902
270,1969,5,8,4564
271,1969,5,8,4920
272,1969,5,9,4634
273,1969,5,9,4728
274,1969,5,10,4072
275,1969,5,10,4444
276,1969,5,11,3998
277,1969,5,11,4124
278,1969,5,12,4570
279,1969,5,12,4736
280,1969,5,13,4776
281,1969,5,13,5086
282,1969,5,14,4402
283,1969,5,14,4782
284,1969,5,15,4646
285,1969,5,15,4878
286,1969,5,16,4880
287,1969,5,16,4944
288,1969,5,17,4376
289,1969,5,17,4570
290,1969,5,18,3922
291,1969,5,18,4106
292,1969,5,19,4626
293,1969,5,19,4868
294,1969,5,20,5034
295,1969,5,20,5354
296,1969,5,21,4698
297,1969,5,21,5068
298,1969,5,22,4630
299,1969,5,22,4776
300,1969,5,23,4548
301,1969,5,23,5036
302,1969,5,24,4174
303,1969,5,24,4384
304,1969,5,25,4030
305,1969,5,25,4196
306,1969,5,26,4752
307,1969,5,26,5088
308,1969,5,27,5264
309,1969,5,27,5088
310,1969,5,28,4966
311,1969,5,28,4972
312,1969,5,29,4878
313,1969,5,29,5312
314,1969,5,30,4452
315,1969,5,30,4702
316,1969,5,31,4112
317,1969,5,31,4528
318,1969,5,99,54
319,1969,5,99,52
320,1969,6,1,4174
321,1969,6,1,4252
322,1969,6,2,4736
323,1969,6,2,5126
324,1969,6,3,5146
325,1969,6,3,5012
326,1969,6,4,4750
327,1969,6,4,5088
328,1969,6,5,4686
329,1969,6,5,4902
330,1969,6,6,4864
331,1969,6,6,5142
332,1969,6,7,4342
333,1969,6,7,4472
334,1969,6,8,3958
335,1969,6,8,4268
336,1969,6,9,4826
337,1969,6,9,4912
338,1969,6,10,4920
339,1969,6,10,5400
340,1969,6,11,4760
341,1969,6,11,5190
342,1969,6,12,4980
343,1969,6,12,5240
344,1969,6,13,4772
345,1969,6,13,5080
346,1969,6,14,4358
347,1969,6,14,4562
348,1969,6,15,4046
349,1969,6,15,4356
350,1969,6,16,4628
351,1969,6,16,5116
352,1969,6,17,5150
353,1969,6,17,5144
354,1969,6,18,4864
355,1969,6,18,5356
356,1969,6,19,4630
357,1969,6,19,5126
358,1969,6,20,5122
359,1969,6,20,5302
360,1969,6,21,4328
361,1969,6,21,4706
362,1969,6,22,4136
363,1969,6,22,4476
364,1969,6,23,4842
365,1969,6,23,5038
366,1969,6,24,5180
367,1969,6,24,5444
368,1969,6,25,5196
369,1969,6,25,5270
370,1969,6,26,5016
371,1969,6,26,5328
372,1969,6,27,5288
373,1969,6,27,5488
374,1969,6,28,4610
375,1969,6,28,4956
376,1969,6,29,4262
377,1969,6,29,4538
378,1969,6,30,5260
379,1969,6,30,5328
380,1969,6,31,20
381,1969,6,31,40
382,1969,6,99,54
383,1969,6,99,48
384,1969,7,1,5378
385,1969,7,1,5768
386,1969,7,2,5242
387,1969,7,2,5516
388,1969,7,3,5030
389,1969,7,3,5532
390,1969,7,4,4504
391,1969,7,4,4664
392,1969,7,5,4492
393,1969,7,5,4756
394,1969,7,6,4246
395,1969,7,6,4614
396,1969,7,7,5138
397,1969,7,7,5496
398,1969,7,8,5282
399,1969,7,8,5560
400,1969,7,9,5132
401,1969,7,9,5444
402,1969,7,10,5166
403,1969,7,10,5396
404,1969,7,11,5210
405,1969,7,11,5476
406,1969,7,12,4596
407,1969,7,12,4876
408,1969,7,13,4454
409,1969,7,13,4524
410,1969,7,14,4768
411,1969,7,14,5474
412,1969,7,15,5486
413,1969,7,15,5810
414,1969,7,16,5086
415,1969,7,16,5612
416,1969,7,17,5194
417,1969,7,17,5474
418,1969,7,18,5242
419,1969,7,18,5390
420,1969,7,19,4838
421,1969,7,19,4836
422,1969,7,20,4320
423,1969,7,20,4620
424,1969,7,21,4984
425,1969,7,21,5212
426,1969,7,22,5408
427,1969,7,22,5632
428,1969,7,23,5092
429,1969,7,23,5376
430,1969,7,24,5124
431,1969,7,24,5306
432,1969,7,25,5126
433,1969,7,25,5562
434,1969,7,26,4734
435,1969,7,26,5052
436,1969,7,27,4626
437,1969,7,27,4782
438,1969,7,28,4990
439,1969,7,28,5558
440,1969,7,29,5434
441,1969,7,29,5668
442,1969,7,30,5192
443,1969,7,30,5442
444,1969,7,31,5076
445,1969,7,31,5270
446,1969,7,99,24
447,1969,7,99,44
448,1969,8,1,5112
449,1969,8,1,5618
450,1969,8,2,4872
451,1969,8,2,5110
452,1969,8,3,4464
453,1969,8,3,4618
454,1969,8,4,5118
455,1969,8,4,5332
456,1969,8,5,5418
457,1969,8,5,5526
458,1969,8,6,5232
459,1969,8,6,5620
460,1969,8,7,5066
461,1969,8,7,5316
462,1969,8,8,5376
463,1969,8,8,5926
464,1969,8,9,4968
465,1969,8,9,5124
466,1969,8,10,4394
467,1969,8,10,4712
468,1969,8,11,5120
469,1969,8,11,5586
470,1969,8,12,5542
471,1969,8,12,5596
472,1969,8,13,5210
473,1969,8,13,5592
474,1969,8,14,5290
475,1969,8,14,5436
476,1969,8,15,5298
477,1969,8,15,5612
478,1969,8,16,4774
479,1969,8,16,4998
480,1969,8,17,4482
481,1969,8,17,4642
482,1969,8,18,5120
483,1969,8,18,5530
484,1969,8,19,5550
485,1969,8,19,5860
486,1969,8,20,5226
487,1969,8,20,5692
488,1969,8,21,4962
489,1969,8,21,5222
490,1969,8,22,5170
491,1969,8,22,5416
492,1969,8,23,4682
493,1969,8,23,4978
494,1969,8,24,4438
495,1969,8,24,4646
496,1969,8,25,5104
497,1969,8,25,5482
498,1969,8,26,5400
499,1969,8,26,5682
500,1969,8,27,5076
501,1969,8,27,5562
502,1969,8,28,5162
503,1969,8,28,5454
504,1969,8,29,5138
505,1969,8,29,5576
506,1969,8,30,4680
507,1969,8,30,5028
508,1969,8,31,4358
509,1969,8,31,4628
510,1969,8,99,54
511,1969,8,99,58
512,1969,9,1,4440
513,1969,9,1,4572
514,1969,9,2,5174
515,1969,9,2,5512
516,1969,9,3,5210
517,1969,9,3,5834
518,1969,9,4,5172
519,1969,9,4,5334
520,1969,9,5,5032
521,1969,9,5,5578
522,1969,9,6,4722
523,1969,9,6,4988
524,1969,9,7,4514
525,1969,9,7,4682
526,1969,9,8,5030
527,1969,9,8,5478
528,1969,9,9,5172
529,1969,9,9,5426
530,1969,9,10,5020
531,1969,9,10,5430
532,1969,9,11,5042
533,1969,9,11,5366
534,1969,9,12,5226
535,1969,9,12,5526
536,1969,9,13,4744
537,1969,9,13,4790
538,1969,9,14,4552
539,1969,9,14,4652
540,1969,9,15,5122
541,1969,9,15,5606
542,1969,9,16,5390
543,1969,9,16,5752
544,1969,9,17,5268
545,1969,9,17,5596
546,1969,9,18,5288
547,1969,9,18,5588
548,1969,9,19,5422
549,1969,9,19,5410
550,1969,9,20,4930
551,1969,9,20,5110
552,1969,9,21,4712
553,1969,9,21,4656
554,1969,9,22,5374
555,1969,9,22,5596
556,1969,9,23,5504
557,1969,9,23,5796
558,1969,9,24,5250
559,1969,9,24,5648
560,1969,9,25,5278
561,1969,9,25,5562
562,1969,9,26,5508
563,1969,9,26,5646
564,1969,9,27,4986
565,1969,9,27,5184
566,1969,9,28,4564
567,1969,9,28,4634
568,1969,9,29,5192
569,1969,9,29,5516
570,1969,9,30,5454
571,1969,9,30,5684
572,1969,9,31,38
573,1969,9,31,30
574,1969,9,99,60
575,1969,9,99,48
576,1969,10,1,5290
577,1969,10,1,5620
578,1969,10,2,5322
579,1969,10,2,5334
580,1969,10,3,5324
581,1969,10,3,5598
582,1969,10,4,4732
583,1969,10,4,4978
584,1969,10,5,4464
585,1969,10,5,4508
586,1969,10,6,5008
587,1969,10,6,5310
588,1969,10,7,5150
589,1969,10,7,5504
590,1969,10,8,5194
591,1969,10,8,5316
592,1969,10,9,5268
593,1969,10,9,5442
594,1969,10,10,5398
595,1969,10,10,5350
596,1969,10,11,4640
597,1969,10,11,4926
598,1969,10,12,4428
599,1969,10,12,4586
600,1969,10,13,4894
601,1969,10,13,5102
602,1969,10,14,5048
603,1969,10,14,5570
604,1969,10,15,4884
605,1969,10,15,5236
606,1969,10,16,4836
607,1969,10,16,5082
608,1969,10,17,5088
609,1969,10,17,5250
610,1969,10,18,4382
611,1969,10,18,4790
612,1969,10,19,4092
613,1969,10,19,4494
614,1969,10,20,4876
615,1969,10,20,5272
616,1969,10,21,5088
617,1969,10,21,5586
618,1969,10,22,5018
619,1969,10,22,5282
620,1969,10,23,4790
621,1969,10,23,5024
622,1969,10,24,4920
623,1969,10,24,5090
624,1969,10,25,4416
625,1969,10,25,4842
626,1969,10,26,4300
627,1969,10,26,4564
628,1969,10,27,5054
629,1969,10,27,5318
630,1969,10,28,5096
631,1969,10,28,5544
632,1969,10,29,4920
633,1969,10,29,5184
634,1969,10,30,4930
635,1969,10,30,5180
636,1969,10,31,4836
637,1969,10,31,5308
638,1969,10,99,48
639,1969,10,99,48
640,1969,11,1,4676
641,1969,11,1,4666
642,1969,11,2,4376
643,1969,11,2,4528
644,1969,11,3,4952
645,1969,11,3,5386
646,1969,11,4,5114
647,1969,11,4,5658
648,1969,11,5,4832
649,1969,11,5,5188
650,1969,11,6,5090
651,1969,11,6,5150
652,1969,11,7,5172
653,1969,11,7,5488
654,1969,11,8,4726
655,1969,11,8,4952
656,1969,11,9,4342
657,1969,11,9,4680
658,1969,11,10,5024
659,1969,11,10,5318
660,1969,11,11,5252
661,1969,11,11,5626
662,1969,11,12,4862
663,1969,11,12,5462
664,1969,11,13,5028
665,1969,11,13,5072
666,1969,11,14,5210
667,1969,11,14,5186
668,1969,11,15,4480
669,1969,11,15,4818
670,1969,11,16,4290
671,1969,11,16,4370
672,1969,11,17,4966
673,1969,11,17,5320
674,1969,11,18,5346
675,1969,11,18,5352
676,1969,11,19,5000
677,1969,11,19,5260
678,1969,11,20,5072
679,1969,11,20,5186
680,1969,11,21,4846
681,1969,11,21,5322
682,1969,11,22,4576
683,1969,11,22,4862
684,1969,11,23,4354
685,1969,11,23,4512
686,1969,11,24,5186
687,1969,11,24,5276
688,1969,11,25,5318
689,1969,11,25,5546
690,1969,11,26,4874
691,1969,11,26,5200
692,1969,11,27,4084
693,1969,11,27,4164
694,1969,11,28,4838
695,1969,11,28,5110
696,1969,11,29,4536
697,1969,11,29,4796
698,1969,11,30,4448
699,1969,11,30,4518
700,1969,11,31,54
701,1969,11,31,62
702,1969,11,99,40
703,1969,11,99,56
704,1969,12,1,5124
705,1969,12,1,5524
706,1969,12,2,5224
707,1969,12,2,5512
708,1969,12,3,4948
709,1969,12,3,5352
710,1969,12,4,5042
711,1969,12,4,5212
712,1969,12,5,4988
713,1969,12,5,5440
714,1969,12,6,4602
715,1969,12,6,4818
716,1969,12,7,4178
717,1969,12,7,4562
718,1969,12,8,5240
719,1969,12,8,5406
720,1969,12,9,5246
721,1969,12,9,5484
722,1969,12,10,5108
723,1969,12,10,5240
724,1969,12,11,5052
725,1969,12,11,5248
726,1969,12,12,5254
727,1969,12,12,5504
728,1969,12,13,4680
729,1969,12,13,4922
730,1969,12,14,4174
731,1969,12,14,4588
732,1969,12,15,5328
733,1969,12,15,5570
734,1969,12,16,5368
735,1969,12,16,5654
736,1969,12,17,5138
737,1969,12,17,5508
738,1969,12,18,5180
739,1969,12,18,5246
740,1969,12,19,5366
741,1969,12,19,5546
742,1969,12,20,4964
743,1969,12,20,4858
744,1969,12,21,4434
745,1969,12,21,4430
746,1969,12,22,5194
747,1969,12,22,5298
748,1969,12,23,4820
749,1969,12,23,5036
750,1969,12,24,4322
751,1969,12,24,4656
752,1969,12,25,4136
753,1969,12,25,4148
754,1969,12,26,4826
755,1969,12,26,5084
756,1969,12,27,4544
757,1969,12,27,4760
758,1969,12,28,4344
759,1969,12,28,4660
760,1969,12,29,5364
761,1969,12,29,5616
762,1969,12,30,5988
763,1969,12,30,6244
764,1969,12,31,5602
765,1969,12,31,5520
766,1969,12,99,44
767,1969,12,99,54
768,1970,1,1,4064
769,1970,1,1,4308
770,1970,1,2,4536
771,1970,1,2,4698
772,1970,1,3,4398
773,1970,1,3,4764
774,1970,1,4,3968
775,1970,1,4,4652
776,1970,1,5,4718
777,1970,1,5,5134
778,1970,1,6,4998
779,1970,1,6,5204
780,1970,1,7,4910
781,1970,1,7,5110
782,1970,1,8,4744
783,1970,1,8,5012
784,1970,1,9,4828
785,1970,1,9,5016
786,1970,1,10,4490
787,1970,1,10,4780
788,1970,1,11,4476
789,1970,1,11,4682
790,1970,1,12,5056
791,1970,1,12,5418
792,1970,1,13,5078
793,1970,1,13,5502
794,1970,1,14,4986
795,1970,1,14,5258
796,1970,1,15,4764
797,1970,1,15,5182
798,1970,1,16,4992
799,1970,1,16,5284
800,1970,1,17,4662
801,1970,1,17,4936
802,1970,1,18,4378
803,1970,1,18,4570
804,1970,1,19,4946
805,1970,1,19,5178
806,1970,1,20,5084
807,1970,1,20,5440
808,1970,1,21,4908
809,1970,1,21,5188
810,1970,1,22,4684
811,1970,1,22,5002
812,1970,1,23,5012
813,1970,1,23,5190
814,1970,1,24,4746
815,1970,1,24,4724
816,1970,1,25,4312
817,1970,1,25,4480
818,1970,1,26,4972
819,1970,1,26,5188
820,1970,1,27,5090
821,1970,1,27,5512
822,1970,1,28,4894
823,1970,1,28,5294
824,1970,1,29,4792
825,1970,1,29,5024
826,1970,1,30,4856
827,1970,1,30,5056
828,1970,1,31,4328
829,1970,1,31,4684
830,1970,1,99,84
831,1970,1,99,54
832,1970,2,1,4380
833,1970,2,1,4662
834,1970,2,2,5128
835,1970,2,2,5414
836,1970,2,3,5096
837,1970,2,3,5616
838,1970,2,4,4848
839,1970,2,4,5238
840,1970,2,5,4802
841,1970,2,5,4964
842,1970,2,6,5122
843,1970,2,6,5098
844,1970,2,7,4652
845,1970,2,7,4910
846,1970,2,8,4226
847,1970,2,8,4790
848,1970,2,9,5016
849,1970,2,9,5210
850,1970,2,10,5218
851,1970,2,10,5402
852,1970,2,11,4990
853,1970,2,11,5298
854,1970,2,12,4958
855,1970,2,12,5100
856,1970,2,13,4986
857,1970,2,13,5124
858,1970,2,14,4652
859,1970,2,14,4906
860,1970,2,15,4598
861,1970,2,15,4538
862,1970,2,16,5056
863,1970,2,16,5204
864,1970,2,17,5160
865,1970,2,17,5516
866,1970,2,18,5120
867,1970,2,18,5352
868,1970,2,19,4792
869,1970,2,19,5280
870,1970,2,20,5214
871,1970,2,20,5330
872,1970,2,21,4556
873,1970,2,21,4758
874,1970,2,22,4458
875,1970,2,22,4528
876,1970,2,23,5000
877,1970,2,23,5168
878,1970,2,24,5386
879,1970,2,24,5396
880,1970,2,25,5254
881,1970,2,25,5320
882,1970,2,26,5204
883,1970,2,26,5204
884,1970,2,27,4992
885,1970,2,27,5272
886,1970,2,28,4796
887,1970,2,28,4924
888,1970,2,29,38
889,1970,2,29,44
890,1970,2,30,20
891,1970,2,30,12
892,1970,2,31,8
893,1970,2,31,6
894,1970,2,99,100
895,1970,2,99,78
896,1970,3,1,4390
897,1970,3,1,4492
898,1970,3,2,5050
899,1970,3,2,5120
900,1970,3,3,5334
901,1970,3,3,5972
902,1970,3,4,5116
903,1970,3,4,5484
904,1970,3,5,4958
905,1970,3,5,5300
906,1970,3,6,5216
907,1970,3,6,5288
908,1970,3,7,4568
909,1970,3,7,4892
910,1970,3,8,4342
911,1970,3,8,4584
912,1970,3,9,5092
913,1970,3,9,5248
914,1970,3,10,5222
915,1970,3,10,5522
916,1970,3,11,5108
917,1970,3,11,5302
918,1970,3,12,5000
919,1970,3,12,5180
920,1970,3,13,4890
921,1970,3,13,5250
922,1970,3,14,4514
923,1970,3,14,4936
924,1970,3,15,4098
925,1970,3,15,4498
926,1970,3,16,4820
927,1970,3,16,5238
928,1970,3,17,5120
929,1970,3,17,5574
930,1970,3,18,4986
931,1970,3,18,5292
932,1970,3,19,4802
933,1970,3,19,5298
934,1970,3,20,5018
935,1970,3,20,5188
936,1970,3,21,4572
937,1970,3,21,4818
938,1970,3,22,4296
939,1970,3,22,4488
940,1970,3,23,5000
941,1970,3,23,5334
942,1970,3,24,5064
943,1970,3,24,5492
944,1970,3,25,4888
945,1970,3,25,5260
946,1970,3,26,4834
947,1970,3,26,5052
948,1970,3,27,4650
949,1970,3,27,5142
950,1970,3,28,4258
951,1970,3,28,4506
952,1970,3,29,4028
953,1970,3,29,4286
954,1970,3,30,4766
955,1970,3,30,5000
956,1970,3,31,5098
957,1970,3,31,5074
958,1970,3,99,100
959,1970,3,99,140
960,1970,4,1,4838
961,1970,4,1,5164
962,1970,4,2,4834
963,1970,4,2,5300
964,1970,4,3,4936
965,1970,4,3,5180
966,1970,4,4,4594
967,1970,4,4,4640
968,1970,4,5,4250
969,1970,4,5,4272
970,1970,4,6,4956
971,1970,4,6,5096
972,1970,4,7,5222
973,1970,4,7,5252
974,1970,4,8,4856
975,1970,4,8,5094
976,1970,4,9,4798
977,1970,4,9,5100
978,1970,4,10,4902
979,1970,4,10,5170
980,1970,4,11,4388
981,1970,4,11,4652
982,1970,4,12,3970
983,1970,4,12,4244
984,1970,4,13,4592
985,1970,4,13,4878
986,1970,4,14,4874
987,1970,4,14,5226
988,1970,4,15,4846
989,1970,4,15,4978
990,1970,4,16,4678
991,1970,4,16,4990
992,1970,4,17,4630
993,1970,4,17,5076
994,1970,4,18,4286
995,1970,4,18,4500
996,1970,4,19,4002
997,1970,4,19,4172
998,1970,4,20,4720
999,1970,4,20,4854
1000,1970,4,21,4996
1001,1970,4,21,5102
1002,1970,4,22,4774
1003,1970,4,22,4940
1004,1970,4,23,4632
1005,1970,4,23,4886
1006,1970,4,24,4848
1007,1970,4,24,5012
1008,1970,4,25,4224
1009,1970,4,25,4600
1010,1970,4,26,3918
1011,1970,4,26,4360
1012,1970,4,27,4834
1013,1970,4,27,5076
1014,1970,4,28,5086
1015,1970,4,28,5214
1016,1970,4,29,4744
1017,1970,4,29,4984
1018,1970,4,30,4700
1019,1970,4,30,4984
1020,1970,4,31,26
1021,1970,4,31,18
1022,1970,4,99,54
1023,1970,4,99,68
1024,1970,5,1,4780
1025,1970,5,1,5166
1026,1970,5,2,4170
1027,1970,5,2,4570
1028,1970,5,3,3774
1029,1970,5,3,4262
1030,1970,5,4,4904
1031,1970,5,4,4848
1032,1970,5,5,4946
1033,1970,5,5,5190
1034,1970,5,6,4848
1035,1970,5,6,4864
1036,1970,5,7,4806
1037,1970,5,7,4826
1038,1970,5,8,4730
1039,1970,5,8,5106
1040,1970,5,9,4398
1041,1970,5,9,4598
1042,1970,5,10,3986
1043,1970,5,10,4442
1044,1970,5,11,5032
1045,1970,5,11,5048
1046,1970,5,12,5148
1047,1970,5,12,5288
1048,1970,5,13,4846
1049,1970,5,13,5180
1050,1970,5,14,4788
1051,1970,5,14,5024
1052,1970,5,15,4920
1053,1970,5,15,5294
1054,1970,5,16,4306
1055,1970,5,16,4640
1056,1970,5,17,3826
1057,1970,5,17,4204
1058,1970,5,18,4842
1059,1970,5,18,5180
1060,1970,5,19,5100
1061,1970,5,19,5336
1062,1970,5,20,4950
1063,1970,5,20,5094
1064,1970,5,21,5036
1065,1970,5,21,5208
1066,1970,5,22,5010
1067,1970,5,22,5352
1068,1970,5,23,4684
1069,1970,5,23,4740
1070,1970,5,24,4256
1071,1970,5,24,4462
1072,1970,5,25,5028
1073,1970,5,25,5048
1074,1970,5,26,5104
1075,1970,5,26,5494
1076,1970,5,27,4770
1077,1970,5,27,5264
1078,1970,5,28,4850
1079,1970,5,28,5190
1080,1970,5,29,4758
1081,1970,5,29,5226
1082,1970,5,30,4318
1083,1970,5,30,4550
1084,1970,5,31,3950
1085,1970,5,31,4438
1086,1970,5,99,72
1087,1970,5,99,72
1088,1970,6,1,5118
1089,1970,6,1,5006
1090,1970,6,2,5242
1091,1970,6,2,5640
1092,1970,6,3,5036
1093,1970,6,3,5234
1094,1970,6,4,4760
1095,1970,6,4,5204
1096,1970,6,5,4818
1097,1970,6,5,5242
1098,1970,6,6,4756
1099,1970,6,6,4760
1100,1970,6,7,4086
1101,1970,6,7,4414
1102,1970,6,8,4770
1103,1970,6,8,5176
1104,1970,6,9,5236
1105,1970,6,9,5528
1106,1970,6,10,5058
1107,1970,6,10,5272
1108,1970,6,11,5146
1109,1970,6,11,5372
1110,1970,6,12,5194
1111,1970,6,12,5580
1112,1970,6,13,4414
1113,1970,6,13,4798
1114,1970,6,14,4230
1115,1970,6,14,4384
1116,1970,6,15,5038
1117,1970,6,15,5178
1118,1970,6,16,5308
1119,1970,6,16,5570
1120,1970,6,17,5108
1121,1970,6,17,5502
1122,1970,6,18,5180
1123,1970,6,18,5340
1124,1970,6,19,5080
1125,1970,6,19,5310
1126,1970,6,20,4768
1127,1970,6,20,4832
1128,1970,6,21,4106
1129,1970,6,21,4462
1130,1970,6,22,4970
1131,1970,6,22,5382
1132,1970,6,23,5156
1133,1970,6,23,5522
1134,1970,6,24,5298
1135,1970,6,24,5346
1136,1970,6,25,5088
1137,1970,6,25,5238
1138,1970,6,26,5158
1139,1970,6,26,5464
1140,1970,6,27,4720
1141,1970,6,27,4952
1142,1970,6,28,4342
1143,1970,6,28,4386
1144,1970,6,29,4996
1145,1970,6,29,5510
1146,1970,6,30,5494
1147,1970,6,30,5884
1148,1970,6,31,14
1149,1970,6,31,14
1150,1970,6,99,102
1151,1970,6,99,86
1152,1970,7,1,5376
1153,1970,7,1,5732
1154,1970,7,2,5370
1155,1970,7,2,5864
